No,Level,Date,Time,Text
110,DEBUG,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Result = 0"
111,INFO,8:51:01 AM,22 March 2020,"main: *************** RSVP Agent started ***************"
112,INFO,8:51:01 AM,22 March 2020,"..locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf"
113,DEBUG,8:51:01 AM,22 March 2020,"main: Using log level 511"
114,ERROR,8:51:01 AM,22 March 2020,".settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket."
115,INFO,8:51:01 AM,22 March 2020,".settcpimage: Associate with TCP/IP image name = TCPCS"
116,INFO,8:51:02 AM,22 March 2020,".reg_process: registering process with the system"
117,INFO,8:51:02 AM,22 March 2020,".reg_process: attempt OS/390 registration"
118,INFO,8:51:02 AM,22 March 2020,".reg_process: return from registration rc=0"
119,TRACE,8:51:06 AM,22 March 2020,"..read_physical_netif: Home list entries returned = 7"
120,DEBUG,8:51:06 AM,22 March 2020,"..read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0"
121,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1"
122,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #2, interface LINK11 has address 9.67.100.1, ifidx 2"
123,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3"
124,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4"
125,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #5, interface CTCD2 has address 9.67.117.98, ifidx 5"
126,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0"
127,DEBUG,8:51:06 AM,22 March 2020,"...mailslot_create: creating mailslot for timer"
128,INFO,8:51:06 AM,22 March 2020,"..mailbox_register: mailbox allocated for timer"
129,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
130,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
131,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
132,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
133,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
134,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 129.1.1.1, entity for rsvp allocated and initialized"
135,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
136,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
137,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
138,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
139,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
140,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.37.65.139, entity for rsvp allocated and"
141,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
142,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
143,DEBUG,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
144,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
145,ERROR,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
146,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.67.100.1, entity for rsvp allocated and initialized"
147,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
148,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
149,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
150,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
